round,pick,player,keeper,team,owner
1,1,Dalvin Cook,no,Grape Juicers,
2,24,Patrick Mahomes ,yes,Grape Juicers,
3,25,Chris Godwin,no,Grape Juicers,
4,48,Darrell Henderson Jr.,no,Grape Juicers,
5,49,Mike Davis,no,Grape Juicers,
6,72,Brandin Cooks,no,Grape Juicers,
7,73,Tyler Higbee,no,Grape Juicers,
8,96,DeVonta Smith,no,Grape Juicers,
9,97,Los Angeles,no,Grape Juicers,
10,120,J.D. McKissic,no,Grape Juicers,
11,121,Marvin Jones Jr.,no,Grape Juicers,
12,144,Greg Zuerlein,no,Grape Juicers,
13,145,Cole Beasley,no,Grape Juicers,
14,168,Rashaad Penny,no,Grape Juicers,
15,169,Russell Gage,no,Grape Juicers,
16,192,Jared Cook,no,Grape Juicers,
1,2,Derrick Henry,no,🦝,
2,23,Allen Robinson II,no,🦝,
3,26,James Robinson,no,🦝,
4,47,Mark Andrews,no,🦝,
5,50,Brandon Aiyuk,no,🦝,
6,71,Kenny Golladay,no,🦝,
7,74,Sony Michel,no,🦝,
8,95,Michael Carter,no,🦝,
9,98,Lamar Jackson ,yes,🦝,
10,119,Alexander Mattison,no,🦝,
11,122,Justin Tucker,no,🦝,
12,143,Baltimore,no,🦝,
13,146,Henry Ruggs III,no,🦝,
14,167,Justin Fields,no,🦝,
15,170,Darrynton Evans,no,🦝,
16,191,Rashod Bateman,no,🦝,
1,3,Alvin Kamara,no,Eli for President,
2,22,David Montgomery,no,Eli for President,
3,27,Robert Woods,no,Eli for President,
4,46,Adam Thielen,no,Eli for President,
5,51,Trey Sermon,no,Eli for President,
6,70,Corey Davis,no,Eli for President,
7,75,Tom Brady,no,Eli for President,
8,94,Jakobi Meyers,no,Eli for President,
9,99,Marquez Callaway,no,Eli for President,
10,118,James White,no,Eli for President,
11,123,Jonnu Smith,no,Eli for President,
12,142,Denver,no,Eli for President,
13,147,Ryan Succop,no,Eli for President,
14,166,Evan Engram,no,Eli for President,
15,171,Raheem Mostert ,yes,Eli for President,
16,190,Justin Herbert ,yes,Eli for President,
1,4,DeAndre Hopkins ,yes,Hurtin Albertan,
2,21,Travis Kelce ,yes,Hurtin Albertan,
3,28,Cooper Kupp,no,Hurtin Albertan,
4,45,Myles Gaskin,no,Hurtin Albertan,
5,52,Kyler Murray,no,Hurtin Albertan,
6,69,Nyheim Hines,no,Hurtin Albertan,
7,76,Mike Williams,no,Hurtin Albertan,
8,93,Harrison Butker,no,Hurtin Albertan,
9,100,David Johnson,no,Hurtin Albertan,
10,117,Austin Hooper,no,Hurtin Albertan,
11,124,Nelson Agholor,no,Hurtin Albertan,
12,141,Tampa Bay,no,Hurtin Albertan,
13,148,A.J. Green,no,Hurtin Albertan,
14,165,Mark Ingram II,no,Hurtin Albertan,
15,172,Marlon Mack,no,Hurtin Albertan,
16,189,Derek Carr,no,Hurtin Albertan,
1,5,Nick Chubb,no,Keytawnsaurus Rex 🦖,
2,20,Chris Carson,no,Keytawnsaurus Rex 🦖,
3,29,George Kittle,no,Keytawnsaurus Rex 🦖,
4,44,Diontae Johnson,no,Keytawnsaurus Rex 🦖,
5,53,Javonte Williams,no,Keytawnsaurus Rex 🦖,
6,68,Tyler Boyd,no,Keytawnsaurus Rex 🦖,
7,77,Josh Allen ,yes,Keytawnsaurus Rex 🦖,
8,92,Jamaal Williams,no,Keytawnsaurus Rex 🦖,
9,101,DJ Chark Jr.,no,Keytawnsaurus Rex 🦖,
10,116,Curtis Samuel,no,Keytawnsaurus Rex 🦖,
11,125,Pittsburgh,no,Keytawnsaurus Rex 🦖,
12,140,Matt Ryan,no,Keytawnsaurus Rex 🦖,
13,149,Rob Gronkowski,no,Keytawnsaurus Rex 🦖,
14,164,Jalen Reagor,no,Keytawnsaurus Rex 🦖,
15,173,A.J. Brown ,yes,Keytawnsaurus Rex 🦖,
16,188,Matt Prater,no,Keytawnsaurus Rex 🦖,
1,6,Austin Ekeler,no,Romeo Clyde Edwards Dallaire,
2,19,Terry McLaurin,no,Romeo Clyde Edwards Dallaire,
3,30,Josh Jacobs,no,Romeo Clyde Edwards Dallaire,
4,43,Tyler Lockett,no,Romeo Clyde Edwards Dallaire,
5,54,Kareem Hunt,no,Romeo Clyde Edwards Dallaire,
6,67,JuJu SmithSchuster,no,Romeo Clyde Edwards Dallaire,
