round_value,player,drafted,team,owner,keeper_year,round_original,team_original,owner_original,acquisition_type
1,Derrick Henry,yes,🦝,Neil,,,,,
3,James Robinson,yes,🦝,Neil,,,,,
3,Amari Cooper,no,🦝,Neil,,3,Catch 22,John,Trade
4,Mark Andrews,yes,🦝,Neil,,,,,
8,Lamar Jackson ,yes,🦝,Neil,3,9,,,
10,Alexander Mattison,yes,🦝,Neil,,,,,
11,Justin Tucker,yes,🦝,Neil,,,,,
12,Baltimore,yes,🦝,Neil,,,,,
15,Ty Johnson,no,🦝,Neil,,15,Romeo Clyde Edwards Dallaire,Kyle,Waiver
16,Rashod Bateman,yes,🦝,Neil,,,,,
16,Tim Patrick,no,🦝,Neil,,,,,
16,Christian Kirk,no,🦝,Neil,,NA,Grape Juicers,Daniel,Trade
16,Jimmy Garoppolo,no,🦝,Neil,,,,,Free agent
16,C.J. Uzomah,no,🦝,Neil,,,,,Waiver
16,D'Ernest Johnson,no,🦝,Neil,,,,,Waiver
1,Alvin Kamara,yes,Eli for President,Jeff,,,,,
2,David Montgomery,yes,Eli for President,Jeff,,,,,
3,Robert Woods,yes,Eli for President,Jeff,,,,,
4,Adam Thielen,yes,Eli for President,Jeff,,,,,
7,Tom Brady,yes,Eli for President,Jeff,,,,,
10,Jaylen Waddle,no,Eli for President,Jeff,,10,Catch 22,John,Waiver
15,Russell Gage,no,Eli for President,Jeff,,15,Grape Juicers,Daniel,Waiver
15,Justin Herbert ,yes,Eli for President,Jeff,2,16,,,
16,Amon-Ra St. Brown,no,Eli for President,Jeff,,,,,Waiver
16,Dalton Schultz,no,Eli for President,Jeff,,,,,Waiver
16,David Njoku,no,Eli for President,Jeff,,,,,Free agent
16,Darrel Williams,no,Eli for President,Jeff,,,,,Waiver
16,Samaje Perine,no,Eli for President,Jeff,,,,,Free agent
16,Kadarius Toney,no,Eli for President,Jeff,,,,,Waiver
16,Tarik Cohen,no,Eli for President,Jeff,,,,,Free agent
16,Mason Crosby,no,Eli for President,Jeff,,,,,Free agent
